Machine,MatrixSize,Iteration,Threads,TimeMs,Method
AMG,200,6,1,163,Threaded
AMG,200,6,2,93,Threaded
AMG,200,6,4,60,Threaded
AMG,200,6,8,72,Threaded
AMG,200,6,16,127,Threaded
AMG,500,6,1,2749,Parallel
AMG,500,6,2,1355,Parallel
AMG,500,6,4,710,Parallel
AMG,500,6,8,497,Parallel
AMG,500,6,16,460,Parallel
AMG,500,6,1,2721,Threaded
AMG,500,6,2,1466,Threaded
AMG,500,6,4,764,Threaded
AMG,500,6,8,499,Threaded
AMG,500,6,16,518,Threaded
AMG,1000,6,1,26124,Parallel
AMG,1000,6,2,12430,Parallel
AMG,1000,6,4,6191,Parallel
AMG,1000,6,8,3958,Parallel
AMG,1000,6,16,3734,Parallel
AMG,1000,6,1,25083,Threaded
AMG,1000,6,2,12254,Threaded
AMG,1000,6,4,6256,Threaded
AMG,1000,6,8,3924,Threaded
AMG,1000,6,16,3709,Threaded
AMG,200,7,1,159,Parallel
AMG,200,7,2,91,Parallel
AMG,200,7,4,51,Parallel
AMG,200,7,8,51,Parallel
AMG,200,7,16,47,Parallel
AMG,200,7,1,164,Threaded
AMG,200,7,2,89,Threaded
AMG,200,7,4,59,Threaded
AMG,200,7,8,68,Threaded
AMG,200,7,16,108,Threaded
AMG,500,7,1,2866,Parallel
AMG,500,7,2,1462,Parallel
AMG,500,7,4,740,Parallel
AMG,500,7,8,499,Parallel
AMG,500,7,16,462,Parallel
AMG,500,7,1,2713,Threaded
AMG,500,7,2,1403,Threaded
AMG,500,7,4,709,Threaded
AMG,500,7,8,490,Threaded
AMG,500,7,16,494,Threaded
AMG,1000,7,1,26111,Parallel
AMG,1000,7,2,13361,Parallel
AMG,1000,7,4,6253,Parallel
AMG,1000,7,8,4048,Parallel
AMG,1000,7,16,3790,Parallel
AMG,1000,7,1,25032,Threaded
AMG,1000,7,2,12651,Threaded
AMG,1000,7,4,6128,Threaded
AMG,1000,7,8,3860,Threaded
AMG,1000,7,16,3741,Threaded
AMG,200,8,1,158,Parallel
AMG,200,8,2,90,Parallel
AMG,200,8,4,50,Parallel
AMG,200,8,8,49,Parallel
AMG,200,8,16,50,Parallel
AMG,200,8,1,167,Threaded
AMG,200,8,2,87,Threaded
AMG,200,8,4,60,Threaded
AMG,200,8,8,65,Threaded
AMG,200,8,16,120,Threaded
AMG,500,8,1,2756,Parallel
AMG,500,8,2,1361,Parallel
AMG,500,8,4,702,Parallel
AMG,500,8,8,486,Parallel
AMG,500,8,16,425,Parallel
AMG,500,8,1,3109,Threaded
AMG,500,8,2,1356,Threaded
AMG,500,8,4,718,Threaded
AMG,500,8,8,495,Threaded
AMG,500,8,16,500,Threaded
AMG,1000,8,1,25246,Parallel
AMG,1000,8,2,12761,Parallel
AMG,1000,8,4,6270,Parallel
AMG,1000,8,8,4420,Parallel
AMG,1000,8,16,3896,Parallel
AMG,1000,8,1,24672,Threaded
AMG,1000,8,2,11910,Threaded
AMG,1000,8,4,6038,Threaded
AMG,1000,8,8,3952,Threaded
AMG,1000,8,16,3685,Threaded
AMG,200,9,1,159,Parallel
AMG,200,9,2,90,Parallel
AMG,200,9,4,52,Parallel
AMG,200,9,8,51,Parallel
AMG,200,9,16,49,Parallel
AMG,200,9,1,163,Threaded
AMG,200,9,2,88,Threaded
AMG,200,9,4,58,Threaded
AMG,200,9,8,61,Threaded
AMG,200,9,16,109,Threaded
AMG,500,9,1,2728,Parallel
AMG,500,9,2,1353,Parallel
AMG,500,9,4,688,Parallel
AMG,500,9,8,463,Parallel
AMG,500,9,16,437,Parallel
AMG,500,9,1,2717,Threaded
AMG,500,9,2,1351,Threaded
AMG,500,9,4,713,Threaded
AMG,500,9,8,487,Threaded
AMG,500,9,16,518,Threaded
AMG,1000,9,1,24952,Parallel
AMG,1000,9,2,12110,Parallel
AMG,1000,9,4,6039,Parallel
AMG,1000,9,8,3968,Parallel
AMG,1000,9,16,3900,Parallel
AMG,1000,9,1,24578,Threaded
AMG,1000,9,2,12064,Threaded
AMG,1000,9,4,6054,Threaded
AMG,1000,9,8,4000,Threaded
AMG,1000,9,16,3788,Threaded
AMG,200,10,1,157,Parallel
AMG,200,10,2,117,Parallel
AMG,200,10,4,51,Parallel
AMG,200,10,8,50,Parallel
AMG,200,10,16,54,Parallel
AMG,200,10,1,164,Threaded
AMG,200,10,2,92,Threaded
AMG,200,10,4,59,Threaded
AMG,200,10,8,65,Threaded
AMG,200,10,16,114,Threaded
AMG,500,10,1,2850,Parallel
AMG,500,10,2,1399,Parallel
AMG,500,10,4,722,Parallel
AMG,500,10,8,488,Parallel
AMG,500,10,16,438,Parallel
AMG,500,10,1,2827,Threaded
AMG,500,10,2,1433,Threaded
AMG,500,10,4,712,Threaded
AMG,500,10,8,491,Threaded
AMG,500,10,16,492,Threaded
AMG,1000,10,1,24895,Parallel
AMG,1000,10,2,11961,Parallel
AMG,1000,10,4,6014,Parallel
AMG,1000,10,8,3963,Parallel
AMG,1000,10,16,3614,Parallel
AMG,1000,10,1,24602,Threaded
AMG,1000,10,2,11955,Threaded
AMG,1000,10,4,5968,Threaded
AMG,1000,10,8,3852,Threaded
AMG,1000,10,16,3709,Threaded
